datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,pe,ps,pb,bvps,P0,P1
2001-08-13,BRKB,10.656,0.773,1.771,7.143,1.533,0.073,32.55,2.67,1.807,165.123,46.22,45.24
2001-11-14,BRKB,9.31,-0.679,-1.85,4.981,1.707,-0.073,58.254,2.558,1.82,154.508,45.4,48.0
2002-03-15,BRKB,9.31,-0.679,-1.85,4.981,1.803,-0.073,62.527,2.746,1.953,154.508,48.68,47.38
2002-03-29,BRKB,9.56,0.095,0.137,5.313,1.808,0.01,137.131,2.894,1.881,152.002,47.2,51.68
2002-05-14,BRKB,9.255,0.916,2.047,7.374,1.721,0.099,108.25,3.084,1.977,157.422,52.0,48.46
2002-08-13,BRKB,9.886,1.045,0.178,7.26,1.686,0.106,82.377,2.984,1.819,159.565,49.06,48.6
2002-11-13,BRKB,10.637,1.141,1.715,10.438,1.657,0.107,35.022,2.846,1.788,157.811,48.6,43.96
2003-03-27,BRKB,12.144,1.184,2.31,12.748,1.626,0.097,23.428,2.371,1.568,158.647,43.7,48.28
2003-05-12,BRKB,11.423,1.73,6.744,19.492,1.573,0.151,22.274,2.576,1.738,158.206,49.34,48.3
2003-08-11,BRKB,14.396,2.229,8.952,28.444,1.428,0.155,18.277,2.363,1.627,165.505,49.88,53.36
2003-11-10,BRKB,18.232,1.806,2.301,30.745,1.383,0.099,17.674,2.186,1.707,164.741,53.18,61.002
2004-03-12,BRKB,19.855,2.386,5.212,35.957,1.317,0.12,17.374,2.218,1.825,171.583,61.3,60.86
2004-05-10,BRKB,17.184,1.55,4.954,40.911,1.636,0.09,16.772,1.919,1.677,174.483,57.8,57.135
2004-08-09,BRKB,17.996,1.282,-0.71,40.201,1.519,0.071,18.335,1.758,1.601,174.1,55.8,55.3
2004-11-08,BRKB,19.172,1.137,2.816,43.017,1.245,0.059,20.452,1.751,1.611,173.065,56.04,60.12
2005-03-15,BRKB,20.03,3.339,0.41,43.427,1.19,0.167,18.914,1.858,1.609,182.212,59.5602,55.92
2005-05-09,BRKB,17.634,1.363,3.282,46.709,1.201,0.077,18.001,1.713,1.483,182.712,55.52,55.7
2005-08-05,BRKB,18.128,1.449,1.053,47.762,1.203,0.08,17.646,1.716,1.46,184.125,55.74,58.7
2005-11-04,BRKB,20.533,0.586,-1.73,46.032,1.188,0.029,20.157,1.779,1.517,185.874,58.38,59.9
2006-03-13,BRKB,25.368,5.13,-1.372,44.66,1.159,0.202,16.297,1.702,1.519,189.289,60.098,58.2
2006-05-05,BRKB,21.403,2.313,-2.16,42.858,1.396,0.108,14.416,1.599,1.433,196.126,58.9,61.0
2006-08-07,BRKB,22.772,2.347,-0.789,42.069,1.361,0.103,13.771,1.586,1.464,144.166,61.7,69.46
2006-11-03,BRKB,24.037,2.772,0.18,42.249,1.326,0.115,12.893,1.731,1.584,149.802,70.02,70.46
2007-03-01,BRKB,24.873,3.583,1.494,43.743,1.271,0.144,14.932,1.767,1.517,155.005,71.08,72.355
2007-05-04,BRKB,31.667,2.595,2.284,46.027,1.36,0.082,14.91,1.63,1.533,148.889,72.62,71.76
2007-08-03,BRKB,25.923,3.118,0.923,46.95,1.313,0.12,14.018,1.588,1.468,155.327,71.98,87.54
2007-11-02,BRKB,28.518,4.553,0.133,47.083,1.285,0.16,14.792,1.846,1.708,160.498,88.04,93.2
2008-02-29,BRKB,26.782,2.947,-2.754,44.329,1.24,0.11,16.418,1.922,1.797,159.879,93.49,89.2
2008-05-02,BRKB,23.983,0.94,-8.763,35.566,1.319,0.039,17.897,1.966,1.733,157.696,88.96,77.08
2008-08-08,BRKB,28.751,2.88,-4.407,31.159,1.318,0.1,15.828,1.659,1.519,153.116,76.96,74.0
2008-11-07,BRKB,26.614,1.057,2.21,33.369,1.309,0.04,22.224,1.638,1.447,152.891,73.72,51.28
2009-03-02,BRKB,22.204,0.117,-7.83,25.539,1.408,0.005,23.324,1.147,1.066,137.194,48.88,61.04
2009-05-08,BRKB,21.797,-1.534,0.012,25.551,1.437,-0.07,58.417,1.482,1.377,134.606,62.64,70.3462
2009-08-07,BRKB,28.358,3.295,-1.04,24.511,1.32,0.116,56.832,1.685,1.404,149.562,70.8,67.9
2009-11-06,BRKB,28.692,3.238,2.408,26.919,1.235,0.113,31.093,1.574,1.217,164.357,68.5,80.13
2010-03-01,BRKB,30.714,3.056,3.639,30.558,1.188,0.099,25.108,1.846,1.489,166.515,81.91,74.59
2010-05-07,BRKB,31.392,3.633,-4.888,25.67,1.345,0.116,13.896,1.542,1.209,156.663,74.41,80.83
2010-08-06,BRKB,30.92,1.968,2.283,27.953,1.367,0.064,16.709,1.633,1.347,146.4,80.47,82.96
2010-11-05,BRKB,35.563,2.989,6.508,34.461,1.354,0.084,17.769,1.609,1.339,148.829,83.72,84.87
2011-02-28,BRKB,35.529,4.377,3.766,38.227,1.285,0.123,16.672,1.621,1.327,153.878,87.28,79.66
2011-05-06,BRKB,33.17,1.511,2.951,41.178,1.292,0.046,18.289,1.467,1.207,154.682,80.21,70.99
2011-08-05,BRKB,37.611,3.417,6.713,47.891,1.295,0.091,14.388,1.247,1.061,156.18,71.25,78.82
2011-11-04,BRKB,33.083,2.278,-13.115,34.776,1.352,0.069,16.507,1.372,1.167,153.424,77.24,80.04
2012-02-27,BRKB,37.315,3.048,2.523,37.299,1.324,0.082,19.378,1.407,1.176,157.437,80.25,81.26
2012-05-04,BRKB,37.516,3.245,0.527,37.826,1.282,0.086,16.765,1.381,1.115,166.715,80.94,84.08
2012-08-03,BRKB,37.86,3.108,2.835,40.661,1.264,0.082,18.168,1.456,1.168,167.124,85.58,87.68
2012-11-02,BRKB,40.345,3.92,7.115,47.776,1.243,0.097,16.186,1.409,1.14,171.774,86.93,102.16
2013-03-01,BRKB,44.006,4.551,-0.784,46.992,1.231,0.103,16.948,1.573,1.311,170.06,102.05,107.3
2013-05-03,BRKB,43.209,4.892,2.097,49.089,1.188,0.113,16.257,1.619,1.325,178.963,108.64,117.28
2013-08-02,BRKB,43.903,4.541,-13.394,35.695,1.178,0.103,16.214,1.693,1.416,176.13,117.82,115.09
2013-11-01,BRKB,45.745,5.053,6.384,42.079,1.167,0.11,14.94,1.608,1.345,180.597,115.27,115.78
2014-03-03,BRKB,46.363,4.99,6.107,48.186,1.16,0.108,14.713,1.599,1.277,190.242,116.06,129.06
2014-05-02,BRKB,45.453,4.705,0.762,48.948,1.149,0.104,16.385,1.742,1.372,194.712,128.09,125.43
2014-08-01,BRKB,49.762,6.395,6.507,55.455,1.13,0.129,14.683,1.657,1.311,195.513,125.83,143.29
2014-11-07,BRKB,51.199,4.617,6.925,62.38,1.153,0.09,17.073,1.834,1.471,197.493,143.61,147.41
2015-03-02,BRKB,48.259,4.155,0.889,63.269,1.165,0.086,18.23,1.861,1.491,198.069,147.08,141.21
2015-05-01,BRKB,48.644,5.164,0.442,63.711,1.169,0.106,17.409,1.789,1.446,199.335,143.36,143.35
2015-08-07,BRKB,51.368,4.013,2.876,66.587,1.17,0.078,19.72,1.775,1.42,199.653,143.55,136.57
2015-11-06,BRKB,58.989,9.428,-0.327,66.26,1.17,0.16,14.716,1.616,1.333,201.19,136.33,131.92
2016-02-29,BRKB,51.82,5.478,5.47,71.73,1.135,0.106,13.778,1.574,1.283,206.194,134.17,143.88
2016-05-06,BRKB,52.403,5.589,-13.388,58.342,1.239,0.107,14.552,1.662,1.362,208.402,144.62,143.12
2016-08-05,BRKB,54.46,5.001,14.337,72.679,1.226,0.092,14.072,1.648,1.347,207.49,145.65,143.64
2016-11-04,BRKB,59.068,7.198,12.156,84.835,1.216,0.122,15.156,1.619,1.293,211.356,142.95,170.22
2017-02-27,BRKB,57.673,6.286,-52.218,86.37,1.168,0.109,17.478,1.882,1.469,219.37,170.63,166.34
2017-05-05,BRKB,65.187,4.06,-2.085,96.464,1.209,0.062,18.23,1.739,1.387,225.433,166.55,178.99
2017-08-04,BRKB,57.518,4.262,0.455,26.418,1.189,0.074,20.359,1.854,1.46,227.866,179.92,179.92
